Id,Dato,Byggeplads adresse,Postnr,Postby,Kommune,Kommunenr,Type,firmaAdresse,Firmanavn,firmaPostnr,Samlet beløb,Timer,Timeløn
1194,29-Dec-14,Storegade 227,6705,Esbjerg Ø,Esbjerg,561,Murersvende,,Dreier og co.,,"298,296.00","1,039.0",287.00
1195,29-Dec-14,Seminarievej,6760,Ribe,Esbjerg,561,Murersvende,,Hans Jørgensen & søn,,"717,900.00","2,334.0",308.00
1196,29-Dec-14,Damvej,6760,Ribe,Esbjerg,561,Murersvende,,Dreier & Co,,"59,522.00",275.0,216.00
1197,30-Dec-14,Klintevej 44,4000,Roskilde,Roskilde,265,Murersvende,,Dreier & Co,,"70,557.00",272.0,259.00
1198,30-Dec-14,Skolevænget 5,4642,Havdrup,Solrød,269,Murersvende,,Dreier og Co.,,"50,130.00",162.0,309.00
1199,30-Dec-14,Roskildevej 65,2620,Albertslund,Albertslund,165,DE- Bygge/anlægsarbejde,,MTH,,"4,436,118.00","19,514.0",227.00
1200,30-Dec-14,Ørestaden,2300,København S,København,101,DE- Bygge/anlægsarbejde,,MTH,,"5,113,643.00","21,750.0",235.00
1201,30-Dec-14,Ad Jørgensensvej,2000,Frederiksberg,Frederiksberg,147,DE- Bygge/anlægsarbejde,,kornerup,,"848,072.00","3,736.0",227.00
1202,30-Dec-14,Karen Blixens Vej 4,2300,København S,København,101,DE- Bygge/anlægsarbejde,,CBB,,"2,575,755.00","13,923.0",185.00
1203,30-Dec-14,Karen Blixens Vej 4,2300,København S,København,101,DE- Bygge/anlægsarbejde,,LM-byg,,"1,765,980.00","9,811.0",180.00
